codigo_fundo,setor,preco_atual,liquidez_diaria,dividendo,dividend_yield,dy3_m_acumulado,dy6_m_acumulado,dy12_m_acumulado,dy3_m_media,dy6_m_media,dy12_m_media,dy_ano,variacao_preço,rentab_periodo,rentab_acumulada,patrimonio_líq,vpa,p_vpa,dy_patrimonial,variação_patrimonial,rentab_patr_periodo,rentab_patr_acumulada,vacancia_fisica,vacancia_financeira,quantidade_ativos
DVFF11,Híbrido,71.5,155.0,0.7,0.95,2.83,6.19,11.55,0.94,1.03,0.96,9.86,-1.65,-0.72,-7.38,10511501.59,95.38,0.75,0.73,-0.3,0.43,12.27,0.0,0.0,0
DVFF11,Híbrido,71.4,835.0,0.7,0.95,2.83,6.19,11.55,0.94,1.03,0.96,9.86,-1.65,-0.72,-7.38,10511501.59,95.38,0.75,0.73,-0.3,0.43,12.27,0.0,0.0,0
RECR11,Títulos e Val. Mob.,86.6,62523.0,0.44,0.5,2.01,5.9,13.61,0.67,0.98,1.13,10.96,-1.8,-1.31,-3.59,252073032.03,95.33,0.91,0.46,-0.03,0.43,11.86,0.0,0.0,0
HCTR11,Outros,9.89,125720.0,1.1,1.09,3.17,7.14,14.96,1.06,1.19,1.25,12.39,-1.66,-0.59,-8.77,2684538725.13,121.56,0.08,0.9,-0.08,0.83,15.96,0.0,0.0,0
RECT11,Híbrido,55.81,7243.0,0.5,0.87,2.48,5.05,9.71,0.83,0.84,0.81,8.1,-5.69,-4.87,-10.62,815391397.88,95.44,0.58,0.53,0.0,0.52,2.96,15.1,0.0,8
BTCR11,Títulos e Val. Mob.,88.0,6663.0,0.9,1.0,2.93,6.64,13.56,0.98,1.11,1.13,11.59,-6.19,-5.26,9.82,45533835.52,94.66,0.93,0.95,-0.24,0.71,2.98,0.0,0.0,0
CEOC11,Lajes Corporativas,60.63,169.0,0.5,0.84,2.48,4.95,9.79,0.83,0.83,0.82,8.23,-1.96,-1.13,12.49,163105846.62,89.83,0.67,0.56,-0.08,0.47,2.62,0.0,0.0,1
BLCA11,Lajes Corporativas,89.9,200.0,0.56,0.62,1.79,3.34,0.0,0.6,0.56,0.0,4.37,0.0,0.62,-2.48,143272831.76,89.55,1.0,0.63,0.51,1.14,-12.73,0.0,0.0,1
TORD11,Outros,7.54,52171.0,0.07,0.88,3.67,6.54,11.3,1.22,1.09,0.94,8.89,-2.08,-1.22,-16.18,495931112.91,14.15,0.53,0.49,0.35,0.85,12.76,0.0,0.0,0
MGFF11,Títulos e Val. Mob.,58.47,10805.0,0.53,0.82,2.48,5.26,10.57,0.83,0.88,0.88,8.93,-1.4,-0.59,12.25,698300597.86,77.16,0.76,0.69,-0.92,-0.24,2.59,0.0,0.0,0
BLMG11,Logística,74.81,8524.0,0.8,0.95,2.79,5.83,11.37,0.93,0.97,0.95,9.46,-6.1,-5.21,-1.92,357215100.57,93.74,0.8,0.85,1.39,2.26,0.2,0.0,0.0,4
CPFF11,Híbrido,71.5,20045.0,0.62,0.83,2.46,5.07,10.16,0.82,0.85,0.85,8.64,-1.17,-0.36,14.32,440345280.92,80.8,0.88,0.77,-0.83,-0.07,8.68,0.0,0.0,0
BCFF11,Títulos e Val. Mob.,66.49,23539.0,0.56,0.81,2.38,4.99,9.62,0.79,0.83,0.8,8.14,-1.13,-0.33,4.36,1972331202.27,78.31,0.85,0.72,-0.1,0.61,3.46,0.0,0.0,0
FLCR11,Títulos e Val. Mob.,92.67,42.0,0.75,0.81,2.63,7.22,15.98,0.88,1.2,1.33,12.68,-1.38,-0.59,5.57,62818707.63,99.15,0.93,0.76,-0.45,0.3,7.69,0.0,0.0,0
VSLH11,Outros,9.01,51175.0,0.12,1.33,3.74,7.29,14.35,1.25,1.21,1.2,12.06,-0.66,0.66,4.29,31429144.87,10.52,0.86,1.14,0.23,1.37,18.55,0.0,0.0,0
FAED11,Outros,151.99,2898.0,1.54,0.99,2.99,6.29,11.82,1.0,1.05,0.99,10.21,-1.87,-0.9,19.0,138819579.88,216.17,0.7,0.71,0.0,0.71,4.21,0.0,0.0,3
RELG11,Híbrido,74.47,1024.0,0.29,0.38,2.23,5.95,12.0,0.74,0.99,1.0,9.86,-7.03,-6.68,4.73,15872574.41,118.93,0.63,0.24,0.07,0.31,4.26,10.4,10.4,3
MAXR11,Outros,77.41,493.0,0.65,0.81,2.47,5.07,9.37,0.82,0.85,0.78,6.18,0.0,0.81,13.22,135256102.97,120.16,0.64,0.54,-0.04,0.5,3.71,2.8,0.0,8
DEVA11,Títulos e Val. Mob.,83.75,27821.0,0.56,0.63,2.26,6.53,14.36,0.75,1.09,1.2,11.64,-2.12,-1.5,-3.84,1407302585.03,101.2,0.83,0.55,0.99,1.55,17.52,0.0,0.0,0
RBRP11,Outros,52.3,15871.0,0.28,0.51,2.05,4.37,8.41,0.68,0.73,0.7,7.15,-1.84,-1.34,-15.89,112272470.11,83.11,0.63,0.34,-0.37,-0.03,5.06,13.0,6.0,17
RVBI11,Títulos e Val. Mob.,74.52,3679.0,0.75,0.97,2.86,5.82,11.41,0.95,0.97,0.95,9.6,-0.69,0.27,5.06,124351592.68,86.36,0.86,0.87,-0.59,0.28,7.26,0.0,0.0,0
MGLG11,Logística,38.95,231.0,0.32,0.78,1.95,5.59,11.78,0.65,0.93,0.98,10.24,-2.37,-1.61,-15.88,73776321.74,39.07,1.0,0.82,-0.05,0.77,-48.64,0.0,0.0,3
FEXC11,Títulos e Val. Mob.,83.5,9153.0,0.9,1.02,3.06,6.9,13.62,1.02,1.15,1.13,11.47,1.73,2.76,11.5,560710751.65,91.87,0.91,0.98,0.69,1.68,6.33,0.0,0.0,0
IRDM11,Títulos e Val. Mob.,95.01,53261.0,0.79,0.8,2.85,6.66,13.43,0.95,1.11,1.12,11.03,-4.3,-3.54,0.15,34455665.04,94.56,1.0,0.9,-0.47,0.43,3.32,0.0,0.0,0
RBRR11,Títulos e Val. Mob.,88.9,45841.0,0.7,0.78,2.56,6.14,12.61,0.85,1.02,1.05,10.61,-3.33,-2.58,-2.45,130394693.01,96.96,0.92,0.72,1.31,2.04,4.32,0.0,0.0,0
CPTS11,Títulos e Val. Mob.,84.3,50806.0,0.85,0.95,3.29,6.91,13.63,1.1,1.15,1.14,11.49,-4.38,-3.47,2.6,2911469296.79,91.61,0.92,0.93,-0.24,0.68,3.13,0.0,0.0,0
RBRF11,Títulos e Val. Mob.,69.23,23696.0,0.63,0.88,2.46,5.16,10.12,0.82,0.86,0.84,8.47,-10.12,-9.33,7.46,1179664989.9,86.23,0.8,0.73,-0.62,0.1,4.39,0.0,0.0,0
RBRY11,Títulos e Val. Mob.,96.96,12353.0,1.0,1.04,3.18,7.12,14.08,1.06,1.19,1.17,11.72,-4.86,-3.87,0.99,553997377.46,99.88,0.97,1.0,0.37,1.37,2.97,0.0,0.0,0
VGIR11,Títulos e Val. Mob.,10.0,209865.0,0.13,1.3,3.92,7.71,14.1,1.31,1.28,1.17,12.36,1.32,2.64,-88.93,729737220.52,9.64,1.04,1.35,-0.06,1.29,-89.26,0.0,0.0,0
TRNT11,Lajes Corporativas,125.0,55.0,0.32,0.26,0.75,1.82,4.18,0.25,0.3,0.35,3.28,8.7,8.97,19.79,797165641.11,202.55,0.62,0.16,0.0,0.16,1.13,49.9,0.0,1
GAME11,Híbrido,9.18,7402.0,0.1,1.08,3.18,7.49,13.33,1.06,1.25,1.11,12.29,-1.91,-0.85,-4.52,202298429.93,9.82,0.93,1.02,0.44,1.47,-98.86,0.0,0.0,0
MCCI11,Títulos e Val. Mob.,96.3,32625.0,1.1,1.14,3.4,6.77,12.7,1.13,1.13,1.06,10.75,0.2,1.34,5.81,1376228495.4,94.3,1.02,1.17,1.51,2.69,4.13,0.0,0.0,0
VGIA11,Títulos e Val. Mob.,10.15,365187.0,0.14,1.34,4.55,9.13,0.0,1.52,1.52,0.0,14.48,-0.19,1.15,13.5,695468145.75,9.52,1.07,1.47,-0.49,0.97,6.44,0.0,0.0,0
IBCR11,Títulos e Val. Mob.,85.18,722.0,0.9,1.05,3.65,7.77,16.73,1.22,1.29,1.39,13.61,-3.19,-2.17,1.55,92382161.72,96.39,0.88,0.93,0.63,1.57,9.58,0.0,0.0,0
HCRI11,Hospital,219.0,42.0,2.49,1.09,2.71,5.06,9.62,0.9,0.84,0.8,2.71,0.0,1.09,-15.83,59990809.18,299.95,0.73,0.83,-0.01,0.82,2.24,0.0,0.0,1
BRLA11,Híbrido,144.0,1.0,1.09,11.91,12.63,14.13,18.29,4.21,2.36,1.52,16.91,0.0,11.91,27.86,41709171.07,157.7,0.91,0.69,-0.09,0.61,-9.29,0.0,0.0,0
